ratio = 4.954797725644836, flow_size = 3.543114MB
ratio = 4.101176560650583, flow_size = 0.076331MB
ratio = 3.8561107119661684, flow_size = 0.02587MB
ratio = 4.912310501924437, flow_size = 4.930462MB
ratio = 2.3993587996288204, flow_size = 0.044329MB
ratio = 5.944840535673318, flow_size = 0.03717MB
ratio = 3.566499569075433, flow_size = 2.703912MB
ratio = 8.407104889887949, flow_size = 0.074342MB
ratio = 6.205504210836655, flow_size = 0.019909MB
ratio = 4.149279000420332, flow_size = 1.17515MB
ratio = 2.7251350804205186, flow_size = 3.124082MB
ratio = 3.1956101575793445, flow_size = 0.821301MB
ratio = 2.0959540036285564, flow_size = 3.984236MB
ratio = 2.5124388276630762, flow_size = 0.004973MB
ratio = 7.265717740542408, flow_size = 0.006861MB
ratio = 3.9607840943836647, flow_size = 0.718349MB
ratio = 5.623017504424168, flow_size = 0.021642MB
ratio = 6.650052644517317, flow_size = 0.781035MB
ratio = 4.004587386262846, flow_size = 0.039695MB
ratio = 6.568645010398595, flow_size = 0.030278MB
ratio = 6.438080630982277, flow_size = 0.039504MB
ratio = 7.1648819670157105, flow_size = 0.007737MB
ratio = 3.9181008306257694, flow_size = 0.041504MB
ratio = 2.074794868580667, flow_size = 0.007515MB
ratio = 4.9822862660127285, flow_size = 0.017384MB
ratio = 6.4036467827084245, flow_size = 0.028893MB
ratio = 5.0454475623661335, flow_size = 13.311273MB
ratio = 5.939208681631805, flow_size = 0.03329MB
ratio = 5.656432363295071, flow_size = 0.009018MB
ratio = 4.380819979615456, flow_size = 0.012047MB
ratio = 5.036742881866278, flow_size = 0.135961MB
ratio = 5.415579467682109, flow_size = 0.007792MB
ratio = 2.0541777007296034, flow_size = 0.025774MB
ratio = 5.83316438510732, flow_size = 1.031166MB
ratio = 2.34108487328992, flow_size = 0.002922MB
ratio = 4.598660153771756, flow_size = 1.365628MB
ratio = 7.121307902444797, flow_size = 0.017771MB
ratio = 4.564127191566749, flow_size = 0.04375MB
ratio = 2.0161336120203495, flow_size = 0.021201MB
ratio = 7.64739631033651, flow_size = 0.087311MB
ratio = 2.371643009257846, flow_size = 0.037924MB
ratio = 3.1244897758649492, flow_size = 0.061908MB
ratio = 2.8154808598006107, flow_size = 0.041776MB
ratio = 4.433240996146479, flow_size = 0.121658MB
ratio = 2.1058749249691853, flow_size = 0.183816MB
ratio = 2.887961202576307, flow_size = 1.192057MB
ratio = 2.3264578287859834, flow_size = 0.147228MB
ratio = 2.481514532149792, flow_size = 0.073183MB
ratio = 4.753739500202135, flow_size = 0.669001MB
ratio = 5.466709943936264, flow_size = 0.050052MB
ratio = 2.110821194914208, flow_size = 3.383329MB
ratio = 5.092814722682245, flow_size = 0.015949MB
ratio = 4.769457725535183, flow_size = 0.067445MB
ratio = 2.089421572810011, flow_size = 0.001255MB
ratio = 2.0000947659866313, flow_size = 0.132041MB
ratio = 2.2415426756400714, flow_size = 3.912859MB
ratio = 3.76099720279159, flow_size = 17.643971MB
ratio = 4.7866506371579804, flow_size = 3.837111MB
ratio = 3.7205392595174587, flow_size = 0.515792MB
ratio = 5.454404948953072, flow_size = 0.016323MB
ratio = 4.068493892935745, flow_size = 0.030445MB
ratio = 4.214764057587812, flow_size = 0.048948MB
ratio = 4.789794722949201, flow_size = 0.629667MB
ratio = 2.5703404567915094, flow_size = 0.036MB
ratio = 5.297284280566771, flow_size = 0.008933MB
ratio = 2.3567645079160693, flow_size = 0.558181MB
ratio = 5.323349269665714, flow_size = 1.839512MB
ratio = 3.514753881548494, flow_size = 0.008213MB
ratio = 6.368730179340085, flow_size = 0.049051MB
ratio = 3.8087952082084366, flow_size = 1.412609MB
ratio = 4.396057241256457, flow_size = 1.180891MB
ratio = 2.3459352310162, flow_size = 0.041881MB
ratio = 4.972793886222362, flow_size = 0.050314MB
