ratio = 32.23030607124937, flow_size = 1.041789MB
ratio = 6.337093837921333, flow_size = 0.382798MB
ratio = 2.427114844044863, flow_size = 4.185055MB
ratio = 101.28262497659614, flow_size = 0.028142MB
ratio = 12.441629264996863, flow_size = 0.197512MB
ratio = 4.807352995933691, flow_size = 9.239973MB
ratio = 2.033075530689485, flow_size = 0.045717MB
ratio = 27.913087405230286, flow_size = 1.329215MB
ratio = 4.557746053327291, flow_size = 0.058667MB
ratio = 102.01030729216838, flow_size = 0.024568MB
ratio = 10.93608017817372, flow_size = 0.007867MB
ratio = 17.36300795675457, flow_size = 3.201634MB
ratio = 103.64918928445542, flow_size = 0.036074MB
ratio = 37.51594362537423, flow_size = 0.745354MB
ratio = 25.717584981704405, flow_size = 0.800413MB
ratio = 270.9822587624405, flow_size = 0.066113MB
ratio = 3.161902436472086, flow_size = 1.268524MB
ratio = 9.241694303070103, flow_size = 3.533253MB
ratio = 69.57689379520366, flow_size = 0.151405MB
ratio = 99.54587382638775, flow_size = 0.045578MB
ratio = 2.396832638164755, flow_size = 0.815836MB
ratio = 7.025935385073922, flow_size = 2.22184MB
ratio = 4.798842811203691, flow_size = 1.896226MB
ratio = 80.64689773883107, flow_size = 0.053178MB
ratio = 2.4795089054124158, flow_size = 0.038708MB
ratio = 5.319371548145861, flow_size = 1.98696MB
ratio = 342.4456448345712, flow_size = 0.04204MB
ratio = 4.6631626765739025, flow_size = 4.022974MB
ratio = 203.41630675234384, flow_size = 0.013992MB
ratio = 213.9165295085822, flow_size = 0.002187MB
ratio = 62.899306316173785, flow_size = 0.06407MB
ratio = 8.075823563310692, flow_size = 1.163275MB
ratio = 283.65289735900166, flow_size = 0.024019MB
ratio = 291.229354906493, flow_size = 0.014266MB
ratio = 4.267165193745751, flow_size = 0.041087MB
ratio = 11.450721649484537, flow_size = 0.045366MB
ratio = 12.873669191087696, flow_size = 0.009412MB
ratio = 22.50469976777618, flow_size = 1.195051MB
ratio = 118.01463774927818, flow_size = 0.078382MB
ratio = 2.019371635336687, flow_size = 0.17103MB
ratio = 5.58719635974934, flow_size = 2.382896MB
ratio = 176.9693841538733, flow_size = 0.03595MB
ratio = 3.490702681542376, flow_size = 0.072229MB
ratio = 35.23918233363175, flow_size = 0.829694MB
ratio = 217.78253670383043, flow_size = 0.008814MB
ratio = 40.66893719322849, flow_size = 0.069429MB
ratio = 71.41031353135314, flow_size = 0.045303MB
ratio = 4.746761731163196, flow_size = 3.597862MB
ratio = 138.16932002158663, flow_size = 0.07756MB
ratio = 4.050660264105642, flow_size = 8.6e-05MB
ratio = 8.458123021644282, flow_size = 0.040149MB
ratio = 195.1721179624665, flow_size = 0.056462MB
ratio = 16.656798905608756, flow_size = 1.208602MB
